% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.747	1	1	75	8	1	28	2196	0	0
0.042	1	0	5	3	1	8	421	0	0
0.202	1	0	21	3	1	8	241	0	0
0.202	1	0	21	3	2	28	373	0	0
0.202	1	0	21	3	3	14	61	0	0
0.202	1	0	21	3	4	20	193	0	0
0.594	1	1	60	5	1	28	2196	0	0
0.748	1	1	75	9	1	28	2196	0	0
0.881	1	1	89	2	1	28	2196	0	0
0.043	1	0	5	4	3	14	775	0	0
0.203	1	0	21	4	1	8	173	0	0
0.203	1	0	21	4	3	14	253	0	0
0.203	1	0	21	4	5	22	349	0	0
0.595	1	1	60	6	1	28	2196	0	0
0.882	1	1	89	3	1	28	2196	0	0
0.749	1	1	75	10	1	28	2196	0	0
0.044	1	0	5	5	4	20	1191	0	0
0.596	1	1	60	7	1	28	2196	0	0
0.75	1	1	76	1	1	28	2196	0	0
0.204	1	0	21	5	1	8	137	0	0
0.045	1	0	5	6	1	8	421	0	0
0.204	1	0	21	5	2	28	185	0	0
0.204	1	0	21	5	3	14	193	0	0
0.204	1	0	21	5	4	20	389	0	0
0.597	1	1	60	8	1	28	2196	0	0
0.046	1	0	5	7	5	22	1383	0	0
0.751	1	1	76	2	1	28	2196	0	0
0.205	1	0	21	6	1	8	209	0	0
0.205	1	0	21	6	3	14	193	0	0
0.205	1	0	21	6	5	22	349	0	0
0.598	1	1	60	9	1	28	2196	0	0
0.047	1	0	5	8	1	8	421	0	0
0.752	1	1	76	3	1	28	2196	0	0
0.599	1	1	60	10	1	28	2196	0	0
0.206	1	0	21	7	1	8	173	0	0
0.206	1	0	21	7	2	28	373	0	0
0.206	1	0	21	7	3	14	125	0	0
0.206	1	0	21	7	4	20	293	0	0
0.048	1	0	5	9	3	14	775	0	0
0.753	1	1	76	4	1	28	2196	0	0
0.6	1	1	61	1	1	28	2196	0	0
0.883	1	1	89	4	1	28	2196	0	0
0.049	1	0	5	10	1	8	421	0	0
0.207	1	0	21	8	1	8	173	0	0
0.207	1	0	21	8	3	14	193	0	0
0.207	1	0	21	8	4	20	97	0	0
0.207	1	0	21	8	5	22	349	0	0
0.754	1	1	76	5	1	28	2196	0	0
0.884	1	1	89	5	1	28	2196	0	0
0.601	1	1	61	2	1	28	2196	0	0
0.208	1	0	21	9	1	8	137	0	0
0.208	1	0	21	9	2	28	373	0	0
0.208	1	0	21	9	3	14	193	0	0
0.208	1	0	21	9	4	20	293	0	0
0.05	1	0	6	1	4	20	1191	0	0
0.602	1	1	61	3	1	28	2196	0	0
0.885	1	1	89	6	1	28	2196	0	0
0.755	1	1	76	6	1	28	2196	0	0
0.209	1	0	21	10	1	8	209	0	0
0.209	1	0	21	10	3	14	193	0	0
0.209	1	0	21	10	5	22	349	0	0
0.051	1	0	6	2	1	8	421	0	0
0.603	1	1	61	4	1	28	2196	0	0
0.756	1	1	76	7	1	28	2196	0	0
0.052	1	0	6	3	3	14	775	0	0
0.604	1	1	61	5	1	28	2196	0	0
0.21	1	0	22	1	1	8	173	0	0
0.21	1	0	22	1	2	28	373	0	0
0.21	1	0	22	1	3	14	61	0	0
0.21	1	0	22	1	4	20	389	0	0
0.757	1	1	76	8	1	28	2196	0	0
0.053	1	0	6	4	5	22	1383	0	0
0.605	1	1	61	6	1	28	2196	0	0
0.758	1	1	76	9	1	28	2196	0	0
0.211	1	0	22	2	1	8	173	0	0
0.211	1	0	22	2	3	14	253	0	0
0.211	1	0	22	2	5	22	349	0	0
0.054	1	0	6	5	2	28	2196	0	0
0.606	1	1	61	7	1	28	2196	0	0
0.886	1	1	89	7	1	28	2196	0	0
0.055	1	0	6	6	1	8	421	0	0
0.759	1	1	76	10	1	28	2196	0	0
0.212	1	0	22	3	1	8	137	0	0
0.212	1	0	22	3	2	28	373	0	0
0.212	1	0	22	3	3	14	193	0	0
0.212	1	0	22	3	4	20	293	0	0
0.607	1	1	61	8	1	28	2196	0	0
0.056	1	0	6	7	3	14	775	0	0
0.887	1	1	89	8	1	28	2196	0	0
0.76	1	1	77	1	1	28	2196	0	0
0.608	1	1	61	9	1	28	2196	0	0
0.213	1	0	22	4	1	8	209	0	0
0.213	1	0	22	4	3	14	193	0	0
0.213	1	0	22	4	5	22	349	0	0
0.888	1	1	89	9	1	28	2196	0	0
0.057	1	0	6	8	1	8	421	0	0
0.761	1	1	77	2	1	28	2196	0	0
0.609	1	1	61	10	1	28	2196	0	0
0.214	1	0	22	5	1	8	209	0	0
0.058	1	0	6	9	4	20	1191	0	0
0.214	1	0	22	5	2	28	373	0	0
0.214	1	0	22	5	4	20	389	0	0
0.889	1	1	89	10	1	28	2196	0	0
0.61	1	1	62	1	1	28	2196	0	0
0.762	1	1	77	3	1	28	2196	0	0
0.059	1	0	6	10	1	8	421	0	0
0.215	1	0	22	6	1	8	101	0	0
0.215	1	0	22	6	3	14	389	0	0
0.215	1	0	22	6	5	22	349	0	0
0.611	1	1	62	2	1	28	2196	0	0
0.06	1	0	7	1	3	14	775	0	0
0.763	1	1	77	4	1	28	2196	0	0
0.612	1	1	62	3	1	28	2196	0	0
0.216	1	0	22	7	1	8	241	0	0
0.216	1	0	22	7	2	28	373	0	0
0.216	1	0	22	7	4	20	293	0	0
0.764	1	1	77	5	1	28	2196	0	0
0.061	1	0	7	2	5	22	1383	0	0
0.613	1	1	62	4	1	28	2196	0	0
0.217	1	0	22	8	1	8	67	0	0
0.217	1	0	22	8	3	14	317	0	0
0.217	1	0	22	8	4	20	193	0	0
0.217	1	0	22	8	5	22	349	0	0
0.765	1	1	77	6	1	28	2196	0	0
0.614	1	1	62	5	1	28	2196	0	0
0.062	1	0	7	3	1	8	421	0	0
0.89	1	1	90	1	1	28	2196	0	0
0.766	1	1	77	7	1	28	2196	0	0
0.218	1	0	22	9	1	8	277	0	0
0.218	1	0	22	9	2	28	373	0	0
0.218	1	0	22	9	5	22	233	0	0
0.615	1	1	62	6	1	28	2196	0	0
0.891	1	1	90	2	1	28	2196	0	0
0.063	1	0	7	4	4	20	1191	0	0
0.219	1	0	22	10	1	8	101	0	0
0.219	1	0	22	10	3	14	317	0	0
0.219	1	0	22	10	4	20	389	0	0
0.616	1	1	62	7	1	28	2196	0	0
0.767	1	1	77	8	1	28	2196	0	0
0.892	1	1	90	3	1	28	2196	0	0
0.064	1	0	7	5	1	8	421	0	0
0.768	1	1	77	9	1	28	2196	0	0
0.617	1	1	62	8	1	28	2196	0	0
0.893	1	1	90	4	1	28	2196	0	0
0.22	1	0	23	1	1	8	241	0	0
0.22	1	0	23	1	2	28	185	0	0
0.22	1	0	23	1	3	14	61	0	0
0.22	1	0	23	1	5	22	349	0	0
0.618	1	1	62	9	1	28	2196	0	0
0.065	1	0	7	6	3	14	775	0	0
0.769	1	1	77	10	1	28	2196	0	0
0.221	1	0	23	2	1	8	101	0	0
0.221	1	0	23	2	2	28	185	0	0
0.221	1	0	23	2	3	14	317	0	0
0.221	1	0	23	2	4	20	293	0	0
0.066	1	0	7	7	2	28	2196	0	0
0.619	1	1	62	10	1	28	2196	0	0
0.77	1	1	78	1	1	28	2196	0	0
0.222	1	0	23	3	1	8	241	0	0
0.222	1	0	23	3	2	28	185	0	0
0.222	1	0	23	3	4	20	97	0	0
0.222	1	0	23	3	5	22	349	0	0
0.62	1	1	63	1	1	28	2196	0	0
0.067	1	0	7	8	1	8	421	0	0
0.771	1	1	78	2	1	28	2196	0	0
0.223	1	0	23	4	1	8	137	0	0
0.223	1	0	23	4	3	14	317	0	0
0.223	1	0	23	4	4	20	293	0	0
0.621	1	1	63	2	1	28	2196	0	0
0.068	1	0	7	9	1	8	421	0	0
0.772	1	1	78	3	1	28	2196	0	0
0.894	1	1	90	5	1	28	2196	0	0
0.622	1	1	63	3	1	28	2196	0	0
0.224	1	0	23	5	1	8	209	0	0
0.224	1	0	23	5	2	28	373	0	0
0.224	1	0	23	5	3	14	61	0	0
0.224	1	0	23	5	5	22	349	0	0
0.069	1	0	7	10	5	22	1383	0	0
0.895	1	1	90	6	1	28	2196	0	0
0.773	1	1	78	4	1	28	2196	0	0
0.623	1	1	63	4	1	28	2196	0	0
0.225	1	0	23	6	1	8	137	0	0
0.225	1	0	23	6	3	14	317	0	0
0.225	1	0	23	6	4	20	293	0	0
0.896	1	1	90	7	1	28	2196	0	0
0.624	1	1	63	5	1	28	2196	0	0
0.07	1	0	8	1	3	14	775	0	0
0.774	1	1	78	5	1	28	2196	0	0
0.897	1	1	90	8	1	28	2196	0	0
0.226	1	0	23	7	1	8	209	0	0
0.226	1	0	23	7	2	28	373	0	0
0.226	1	0	23	7	4	20	97	0	0
0.226	1	0	23	7	5	22	349	0	0
0.625	1	1	63	6	1	28	2196	0	0
0.071	1	0	8	2	4	20	1191	0	0
0.775	1	1	78	6	1	28	2196	0	0
0.898	1	1	90	9	1	28	2196	0	0
0.626	1	1	63	7	1	28	2196	0	0
0.227	1	0	23	8	1	8	137	0	0
0.227	1	0	23	8	3	14	317	0	0
0.227	1	0	23	8	4	20	293	0	0
0.072	1	0	8	3	1	8	421	0	0
0.776	1	1	78	7	1	28	2196	0	0
0.627	1	1	63	8	1	28	2196	0	0
0.228	1	0	23	9	1	8	209	0	0
0.228	1	0	23	9	2	28	373	0	0
0.228	1	0	23	9	3	14	61	0	0
0.228	1	0	23	9	5	22	349	0	0
0.777	1	1	78	8	1	28	2196	0	0
0.073	1	0	8	4	1	8	421	0	0
0.628	1	1	63	9	1	28	2196	0	0
0.778	1	1	78	9	1	28	2196	0	0
0.229	1	0	23	10	1	8	137	0	0
0.229	1	0	23	10	3	14	317	0	0
0.229	1	0	23	10	4	20	293	0	0
0.074	1	0	8	5	3	14	775	0	0
0.629	1	1	63	10	1	28	2196	0	0
0.779	1	1	78	10	1	28	2196	0	0
0.63	1	1	64	1	1	28	2196	0	0
0.075	1	0	8	6	1	8	421	0	0
0.23	1	0	24	1	1	8	209	0	0
0.23	1	0	24	1	2	28	373	0	0
0.23	1	0	24	1	4	20	193	0	0
0.23	1	0	24	1	5	22	233	0	0
0.899	1	1	90	10	1	28	2196	0	0
0.78	1	1	79	1	1	28	2196	0	0
0.631	1	1	64	2	1	28	2196	0	0
0.076	1	0	8	7	5	22	1383	0	0
0.231	1	0	24	2	1	8	173	0	0
0.231	1	0	24	2	3	14	317	0	0
0.231	1	0	24	2	5	22	233	0	0
0.781	1	1	79	2	1	28	2196	0	0
0.632	1	1	64	3	1	28	2196	0	0
0.077	1	0	8	8	4	20	1191	0	0
0.782	1	1	79	3	1	28	2196	0	0
0.232	1	0	24	3	1	8	173	0	0
0.232	1	0	24	3	2	28	373	0	0
0.232	1	0	24	3	3	14	61	0	0
0.232	1	0	24	3	4	20	389	0	0
0.633	1	1	64	4	1	28	2196	0	0
0.783	1	1	79	4	1	28	2196	0	0
0.078	1	0	8	9	2	28	2196	0	0
0.233	1	0	24	4	1	8	173	0	0
0.233	1	0	24	4	3	14	253	0	0
0.233	1	0	24	4	5	22	349	0	0
0.784	1	1	79	5	1	28	2196	0	0
0.079	1	0	8	10	1	8	421	0	0
0.634	1	1	64	5	1	28	2196	0	0
0.785	1	1	79	6	1	28	2196	0	0
0.234	1	0	24	5	1	8	173	0	0
0.234	1	0	24	5	2	28	185	0	0
0.234	1	0	24	5	3	14	193	0	0
0.234	1	0	24	5	4	20	293	0	0
0.635	1	1	64	6	1	28	2196	0	0
0.08	1	0	9	1	3	14	775	0	0
0.786	1	1	79	7	1	28	2196	0	0
0.235	1	0	24	6	1	8	173	0	0
0.235	1	0	24	6	2	28	185	0	0
0.235	1	0	24	6	3	14	193	0	0
0.235	1	0	24	6	5	22	349	0	0
0.636	1	1	64	7	1	28	2196	0	0
0.081	1	0	9	2	1	8	421	0	0
0.787	1	1	79	8	1	28	2196	0	0
0.236	1	0	24	7	1	8	209	0	0
0.236	1	0	24	7	2	28	185	0	0
0.236	1	0	24	7	3	14	61	0	0
0.236	1	0	24	7	4	20	389	0	0
0.788	1	1	79	9	1	28	2196	0	0
0.082	1	0	9	3	3	14	775	0	0
0.637	1	1	64	8	1	28	2196	0	0
0.789	1	1	79	10	1	28	2196	0	0
0.237	1	0	24	8	1	8	101	0	0
0.237	1	0	24	8	2	28	185	0	0
0.237	1	0	24	8	3	14	317	0	0
0.237	1	0	24	8	5	22	349	0	0
0.638	1	1	64	9	1	28	2196	0	0
0.083	1	0	9	4	1	8	421	0	0
0.79	1	1	80	1	1	28	2196	0	0
0.238	1	0	24	9	1	8	241	0	0
0.238	1	0	24	9	2	28	185	0	0
0.238	1	0	24	9	4	20	389	0	0
0.084	1	0	9	5	4	20	1191	0	0
0.639	1	1	64	10	1	28	2196	0	0
0.791	1	1	80	2	1	28	2196	0	0
0.792	1	1	80	3	1	28	2196	0	0
0.239	1	0	24	10	1	8	137	0	0
0.239	1	0	24	10	3	14	317	0	0
0.239	1	0	24	10	5	22	349	0	0
0.64	1	1	65	1	1	28	2196	0	0
0.085	1	0	9	6	5	22	1383	0	0
0.793	1	1	80	4	1	28	2196	0	0
0.24	1	0	25	1	1	8	209	0	0
0.24	1	0	25	1	2	28	373	0	0
0.24	1	0	25	1	3	14	61	0	0
0.24	1	0	25	1	4	20	293	0	0
0.641	1	1	65	2	1	28	2196	0	0
0.794	1	1	80	5	1	28	2196	0	0
0.086	1	0	9	7	1	8	421	0	0
0.642	1	1	65	3	1	28	2196	0	0
0.241	1	0	25	2	1	8	137	0	0
0.241	1	0	25	2	3	14	317	0	0
0.241	1	0	25	2	5	22	349	0	0
0.795	1	1	80	6	1	28	2196	0	0
0.087	1	0	9	8	3	14	775	0	0
0.796	1	1	80	7	1	28	2196	0	0
0.242	1	0	25	3	1	8	209	0	0
0.242	1	0	25	3	2	28	373	0	0
0.242	1	0	25	3	4	20	389	0	0
0.643	1	1	65	4	1	28	2196	0	0
0.088	1	0	9	9	1	8	421	0	0
0.797	1	1	80	8	1	28	2196	0	0
0.644	1	1	65	5	1	28	2196	0	0
0.243	1	0	25	4	1	8	137	0	0
0.243	1	0	25	4	3	14	317	0	0
0.243	1	0	25	4	5	22	349	0	0
0.798	1	1	80	9	1	28	2196	0	0
0.089	1	0	9	10	2	28	2196	0	0
0.799	1	1	80	10	1	28	2196	0	0
0.645	1	1	65	6	1	28	2196	0	0
0.09	1	0	10	1	4	20	1191	0	0
0.8	1	1	81	1	1	28	2196	0	0
0.646	1	1	65	7	1	28	2196	0	0
0.801	1	1	81	2	1	28	2196	0	0
0.091	1	0	10	2	1	8	421	0	0
0.647	1	1	65	8	1	28	2196	0	0
0.802	1	1	81	3	1	28	2196	0	0
0.244	1	0	25	5	1	8	209	0	0
0.244	1	0	25	5	2	28	373	0	0
0.244	1	0	25	5	3	14	61	0	0
0.244	1	0	25	5	4	20	293	0	0
0.648	1	1	65	9	1	28	2196	0	0
0.092	1	0	10	3	3	14	775	0	0
0.803	1	1	81	4	1	28	2196	0	0
0.245	1	0	25	6	1	8	137	0	0
0.245	1	0	25	6	3	14	317	0	0
0.245	1	0	25	6	5	22	349	0	0
0.804	1	1	81	5	1	28	2196	0	0
0.093	1	0	10	4	5	22	1383	0	0
0.649	1	1	65	10	1	28	2196	0	0
0.805	1	1	81	6	1	28	2196	0	0
0.65	1	1	66	1	1	28	2196	0	0
0.094	1	0	10	5	1	8	421	0	0
0.806	1	1	81	7	1	28	2196	0	0
0.807	1	1	81	8	1	28	2196	0	0
0.651	1	1	66	2	1	28	2196	0	0
0.095	1	0	10	6	1	8	421	0	0
0.246	1	0	25	7	1	8	209	0	0
0.808	1	1	81	9	1	28	2196	0	0
0.246	1	0	25	7	2	28	373	0	0
0.246	1	0	25	7	4	20	389	0	0
0.652	1	1	66	3	1	28	2196	0	0
0.096	1	0	10	7	3	14	775	0	0
0.809	1	1	81	10	1	28	2196	0	0
0.653	1	1	66	4	1	28	2196	0	0
0.81	1	1	82	1	1	28	2196	0	0
0.097	1	0	10	8	4	20	1191	0	0
0.654	1	1	66	5	1	28	2196	0	0
0.811	1	1	82	2	1	28	2196	0	0
0.098	1	0	10	9	1	8	421	0	0
0.812	1	1	82	3	1	28	2196	0	0
0.655	1	1	66	6	1	28	2196	0	0
0.813	1	1	82	4	1	28	2196	0	0
0.099	1	0	10	10	5	22	1383	0	0
0.247	1	0	25	8	1	8	137	0	0
0.247	1	0	25	8	3	14	317	0	0
0.247	1	0	25	8	5	22	349	0	0
0.656	1	1	66	7	1	28	2196	0	0
0.814	1	1	82	5	1	28	2196	0	0
0.1	1	0	11	1	1	8	421	0	0
0.248	1	0	25	9	1	8	209	0	0
0.248	1	0	25	9	2	28	373	0	0
0.248	1	0	25	9	3	14	61	0	0
0.248	1	0	25	9	4	20	293	0	0
0.815	1	1	82	6	1	28	2196	0	0
0.657	1	1	66	8	1	28	2196	0	0
0.816	1	1	82	7	1	28	2196	0	0
0.101	1	0	11	2	3	14	775	0	0
0.658	1	1	66	9	1	28	2196	0	0
0.817	1	1	82	8	1	28	2196	0	0
0.102	1	0	11	3	2	28	2196	0	0
0.659	1	1	66	10	1	28	2196	0	0
0.818	1	1	82	9	1	28	2196	0	0
0.103	1	0	11	4	1	8	421	0	0
0.66	1	1	67	1	1	28	2196	0	0
0.819	1	1	82	10	1	28	2196	0	0
0.249	1	0	25	10	1	8	67	0	0
0.249	1	0	25	10	3	14	317	0	0
0.249	1	0	25	10	4	20	193	0	0
0.249	1	0	25	10	5	22	349	0	0
0.82	1	1	83	1	1	28	2196	0	0
0.661	1	1	67	2	1	28	2196	0	0
0.104	1	0	11	5	4	20	1191	0	0
0.25	1	0	26	1	1	8	277	0	0
0.25	1	0	26	1	2	28	373	0	0
0.25	1	0	26	1	4	20	193	0	0
0.662	1	1	67	3	1	28	2196	0	0
0.821	1	1	83	2	1	28	2196	0	0
0.105	1	0	11	6	3	14	775	0	0
0.822	1	1	83	3	1	28	2196	0	0
0.663	1	1	67	4	1	28	2196	0	0
0.664	1	1	67	5	1	28	2196	0	0
0.823	1	1	83	4	1	28	2196	0	0
0.106	1	0	11	7	1	8	421	0	0
0.824	1	1	83	5	1	28	2196	0	0
0.665	1	1	67	6	1	28	2196	0	0
0.251	1	0	26	2	1	8	137	0	0
0.251	1	0	26	2	3	14	317	0	0
0.251	1	0	26	2	5	22	349	0	0
0.107	1	0	11	8	1	8	421	0	0
0.825	1	1	83	6	1	28	2196	0	0
0.666	1	1	67	7	1	28	2196	0	0
0.826	1	1	83	7	1	28	2196	0	0
0.252	1	0	26	3	1	8	209	0	0
0.252	1	0	26	3	2	28	185	0	0
0.252	1	0	26	3	3	14	61	0	0
0.252	1	0	26	3	4	20	389	0	0
0.108	1	0	11	9	5	22	1383	0	0
0.667	1	1	67	8	1	28	2196	0	0
0.827	1	1	83	8	1	28	2196	0	0
0.668	1	1	67	9	1	28	2196	0	0
0.109	1	0	11	10	3	14	775	0	0
0.828	1	1	83	9	1	28	2196	0	0
0.669	1	1	67	10	1	28	2196	0	0
0.829	1	1	83	10	1	28	2196	0	0
0.11	1	0	12	1	1	8	421	0	0
0.83	1	1	84	1	1	28	2196	0	0
0.67	1	1	68	1	1	28	2196	0	0
0.253	1	0	26	4	1	8	137	0	0
0.253	1	0	26	4	3	14	317	0	0
0.253	1	0	26	4	5	22	349	0	0
0.831	1	1	84	2	1	28	2196	0	0
0.111	1	0	12	2	4	20	1191	0	0
0.671	1	1	68	2	1	28	2196	0	0
0.832	1	1	84	3	1	28	2196	0	0
0.254	1	0	26	5	1	8	241	0	0
0.254	1	0	26	5	2	28	373	0	0
0.254	1	0	26	5	4	20	293	0	0
0.672	1	1	68	3	1	28	2196	0	0
0.833	1	1	84	4	1	28	2196	0	0
0.112	1	0	12	3	1	8	421	0	0
0.834	1	1	84	5	1	28	2196	0	0
0.673	1	1	68	4	1	28	2196	0	0
0.113	1	0	12	4	3	14	775	0	0
0.835	1	1	84	6	1	28	2196	0	0
0.674	1	1	68	5	1	28	2196	0	0
0.836	1	1	84	7	1	28	2196	0	0
0.114	1	0	12	5	2	28	2196	0	0
0.675	1	1	68	6	1	28	2196	0	0
0.255	1	0	26	6	1	8	32	0	0
0.255	1	0	26	6	3	14	389	0	0
0.255	1	0	26	6	4	20	193	0	0
0.255	1	0	26	6	5	22	349	0	0
0.837	1	1	84	8	1	28	2196	0	0
0.676	1	1	68	7	1	28	2196	0	0
0.838	1	1	84	9	1	28	2196	0	0
0.115	1	0	12	6	1	8	421	0	0
0.677	1	1	68	8	1	28	2196	0	0
0.839	1	1	84	10	1	28	2196	0	0
0.678	1	1	68	9	1	28	2196	0	0
0.116	1	0	12	7	5	22	1383	0	0
0.84	1	1	85	1	1	28	2196	0	0
0.679	1	1	68	10	1	28	2196	0	0
0.841	1	1	85	2	1	28	2196	0	0
0.256	1	0	26	7	1	8	317	0	0
0.256	1	0	26	7	2	28	373	0	0
0.256	1	0	26	7	4	20	97	0	0
0.68	1	1	69	1	1	28	2196	0	0
0.842	1	1	85	3	1	28	2196	0	0
0.117	1	0	12	8	1	8	421	0	0
0.257	1	0	26	8	1	8	32	0	0
0.257	1	0	26	8	3	14	317	0	0
0.257	1	0	26	8	4	20	293	0	0
0.257	1	0	26	8	5	22	349	0	0
0.681	1	1	69	2	1	28	2196	0	0
0.843	1	1	85	4	1	28	2196	0	0
0.118	1	0	12	9	4	20	1191	0	0
0.844	1	1	85	5	1	28	2196	0	0
0.682	1	1	69	3	1	28	2196	0	0
